pdf,doi,title,journal,year,access
ANIE.200805279,10.1002/anie.200805279,Oxidaseâ€Like Activity of Polymerâ€Coated Cerium Oxide Nanoparticles,Angewandte Chemie International Edition,2009,1
CBIC.202000147,10.1002/cbic.202000147,Size Effect in Pdâˆ’Ir Coreâ€Shell Nanoparticles as Nanozymes,ChemBioChem,2020,1
S1320501710821,10.1007/s13205-017-1082-1,Unveiling the role of ATP in amplification of intrinsic peroxidase-like activity of gold nanoparticles,3 Biotech,2018,1
J.ACA.2015.04.052,10.1016/j.aca.2015.04.052,Evaluation of the oxidase like activity of nanoceria and its application in colorimetric assays,Analytica Chimica Acta,2015,1
J.ACA.2020.01.035,10.1016/j.aca.2020.01.035,Colorimetric acid phosphatase sensor based on MoO3 nanozyme,Analytica Chimica Acta,2020,1
J.APMT.2019.03.009,10.1016/j.apmt.2019.03.009,Ordered mesoporous CoO/CeO2 heterostructures with highly crystallized walls and enhanced peroxidase-like bioactivity,Applied Materials Today,2019,1
J.BIOMATERIALS.2009.05.005,10.1016/j.biomaterials.2009.05.005,The artificial peroxidase activity of magnetic iron oxide nanoparticles and its application to glucose detection,Biomaterials,2009,1
J.BIOS.2013.11.040,10.1016/j.bios.2013.11.040,Novel tungsten carbide nanorods: An intrinsic peroxidase mimetic with high activity and stability in aqueous and organic solvents,Biosensors and Bioelectronics,2014,1
J.JCIS.2017.11.064,10.1016/j.jcis.2017.11.064,Gold core/ceria shell-based redox active nanozyme mimicking the biological multienzyme complex phenomenon,Journal of Colloid and Interface Science,2018,1
J.JCIS.2018.12.093,10.1016/j.jcis.2018.12.093,MoO3âˆ’x nanodots with dual enzyme mimic activities as multifunctional modulators for amyloid assembly and neurotoxicity,Journal of Colloid and Interface Science,2019,1
J.JCIS.2021.06.170,10.1016/j.jcis.2021.06.170,Porous Au@Pt nanoparticles with superior peroxidase-like activity for colorimetric detection of spike protein of SARS-CoV-2,Journal of Colloid and Interface Science,2021,1
J.JCIS.2022.01.041,10.1016/j.jcis.2022.01.041,Colorimetric assay for the detection of dopamine using bismuth ferrite oxide (Bi2Fe4O9) nanoparticles as an efficient peroxidase-mimic nanozyme,Journal of Colloid and Interface Science,2022,1
J.LWT.2021.112821,10.1016/j.lwt.2021.112821,Oxidase-like Feâ€“Mn bimetallic nanozymes for colorimetric detection of ascorbic acid in kiwi fruit,LWT,2022,1
J.SINTL.2020.100031,10.1016/j.sintl.2020.100031,Ultrafast and sensitive colorimetric detection of ascorbic acid with Pd-Pt core-shell nanostructure as peroxidase mimic,Sensors International,2020,1
J.SNB.2016.04.041,10.1016/j.snb.2016.04.041,Peroxidase-like activity of FeVO4 nanobelts and its analytical application for optical detection of hydrogen peroxide,Sensors and Actuators B: Chemical,2016,1
ACS.ANALCHEM.7B02880,10.1021/acs.analchem.7b02880,Gold-Loaded Nanoporous Ferric Oxide Nanocubes with Peroxidase-Mimicking Activity for Electrocatalytic and Colorimetric Detection of Autoantibody,Analytical Chemistry,2017,1
ACSOMEGA.0C00147,10.1021/acsomega.0c00147,Polyethyleneimine-Stabilized Platinum Nanoparticles as Peroxidase Mimic for Colorimetric Detection of Glucose,ACS Omega,2020,1
ACSOMEGA.9B03252,10.1021/acsomega.9b03252,Intrinsic Enzyme-like Activities of Cerium Oxide Nanocomposite and Its Application for Extracellular H<sub>2</sub>O<sub>2</sub> Detection Using an Electrochemical Microfluidic Device,ACS Omega,2020,1
CM8031863,10.1021/cm8031863,"Synthesis, Magnetic Characterization, and Sensing Applications of Novel Dextran-Coated Iron Oxide Nanorods",Chemistry of Materials,2009,1
JACS.0C12605,10.1021/jacs.0c12605,Nickelâ€“Platinum Nanoparticles as Peroxidase Mimics with a Record High Catalytic Efficiency,Journal of the American Chemical Society,2021,1
JACS.5B09337,10.1021/jacs.5b09337,Single Nanoparticle to 3D Supercage: Framing for an Artificial Enzyme System,Journal of the American Chemical Society,2015,1
SREP35344,10.1038/srep35344,Redox enzyme-mimicking activities of CeO2 nanostructures: Intrinsic influence of exposed facets,Scientific Reports,2016,1
SREP40103,10.1038/srep40103,AuPt Alloy Nanostructures with Tunable Composition and Enzyme-like Activities for Colorimetric Detection of Bisulfide,Scientific Reports,2017,1
C6TB01233G,10.1039/C6TB01233G,Three dimensional multipod superstructures based on Cu(OH)<sub>2</sub> as a highly efficient nanozyme,Journal of Materials Chemistry B,2016,1
C7RA10370K,10.1039/C7RA10370K,Mimicking horseradish peroxidase and oxidase using ruthenium nanomaterials,RSC Advances,2017,1
C8RA05487H,10.1039/C8RA05487H,A cobalt-doped iron oxide nanozyme as a highly active peroxidase for renal tumor catalytic therapy,RSC Advances,2019,1
C8TB01132J,10.1039/C8TB01132J,Porous nanozymes: the peroxidase-mimetic activity of mesoporous iron oxide for the colorimetric and electrochemical detection of global DNA methylation,Journal of Materials Chemistry B,2018,1
C9RA01227C,10.1039/C9RA01227C,Mn<sub>3</sub>O<sub>4</sub> microspheres as an oxidase mimic for rapid detection of glutathione,RSC Advances,2019,1
D0RA05342B,10.1039/D0RA05342B,Dual enzyme-like activity of iridium nanoparticles and their applications for the detection of glucose and glutathione,RSC Advances,2020,1
D1RA03456A,10.1039/D1RA03456A,Sweetsop-like Î±-Fe<sub>2</sub>O<sub>3</sub>@CoNi catalyst with superior peroxidase-like activity for sensitive and selective detection of hydroquinone,RSC Advances,2021,1
5416963,10.1155/2019/5416963,Oxidase-Like Catalytic Performance of Nano-MnO<sub>2</sub> and Its Potential Application for Metal Ions Detection in Water,International Journal of Analytical Chemistry,2019,1
S129510190487X,10.1186/s12951-019-0487-x,Bactericidal effects and accelerated wound healing using Tb4O7 nanoparticles with intrinsic oxidase-like activity,Journal of Nanobiotechnology,2019,1
CHEMOSENSORS10090359,10.3390/chemosensors10090359,Pd@Pt Nanodendrites as Peroxidase Nanomimics for Enhanced Colorimetric ELISA of Cytokines with Femtomolar Sensitivity,Chemosensors,2022,1
NANO10020313,10.3390/nano10020313,Test-System for Bacteria Sensing Based on Peroxidase-Like Activity of Inkjet-Printed Magnetite Nanoparticles,Nanomaterials,2020,1
NANO10061015,10.3390/nano10061015,Pt Nanoparticles with High Oxidase-Like Activity and Reusability for Detection of Ascorbic Acid,Nanomaterials,2020,1
NANO12050755,10.3390/nano12050755,Gold-Platinum Nanoparticles with Core-Shell Configuration as Efficient Oxidase-like Nanosensors for Glutathione Detection,Nanomaterials,2022,1
NANO9020210,10.3390/nano9020210,Fe3O4 Nanoparticles Loaded on Lignin Nanoparticles Applied as a Peroxidase Mimic for the Sensitively Colorimetric Detection of H2O2,Nanomaterials,2019,1
S16040584,10.3390/s16040584,Optimizing Colorimetric Assay Based on V2O5 Nanozymes for Sensitive Detection of H2O2 and Glucose,Sensors,2016,1
THNO.19257,10.7150/thno.19257,Boosting the Peroxidase-Like Activity of Nanostructured Nickel by Inducing Its 3+ Oxidation State in LaNiO<sub>3</sub> Perovskite and Its Application for Biomedical Assays,Theranostics,2017,1
