domain,pdf,doi,status,reason,saved_path,source_url
seltox,97_boda2015.pdf,10.1002/smll.201403014,failed,no_oa_url,,
seltox,4_antibiotics-11-01219-v2.pdf,10.1007/s10876-020-01759-x,failed,no_oa_url,,
seltox,33_s11274-017-2406-3.pdf,10.1007/s11274-017-2406-3,downloaded,downloaded,data/pdfs/pdf_seltox/33_s11274-017-2406-3.pdf,https://link.springer.com/content/pdf/10.1007/s11274-017-2406-3.pdf
seltox,171_1-s2.0-S2211926423001625-main.pdf,10.1016/j.algal.2023.103129,failed,not_pdf:text/html;charset=UTF-8,,
seltox,159_1-s2.0-S1878535214002482-main.pdf,10.1016/j.arabjc.2014.10.036,failed,http_403,,
seltox,174_1-s2.0-S1878535216300387-main.pdf,10.1016/j.arabjc.2016.04.014,failed,request_error:ConnectTimeout,,
seltox,167_1-s2.0-S1878535221005402-main.pdf,10.1016/j.arabjc.2021.103525,failed,http_403,,
seltox,145_1-s2.0-S187853522200079X-main.pdf,10.1016/j.arabjc.2022.103763,failed,http_403,,
seltox,196_1-s2.0-S1878535222001149-main.pdf,10.1016/j.arabjc.2022.103798,failed,request_error:ConnectTimeout,,
seltox,190_1-s2.0-S1878535222001587-main.pdf,10.1016/j.arabjc.2022.103842,failed,not_pdf:text/html; charset=UTF-8,,
seltox,158_1-s2.0-S1878535223006561-main.pdf,10.1016/j.arabjc.2023.105194,downloaded,downloaded,data/pdfs/pdf_seltox/158_1-s2.0-S1878535223006561-main.pdf,https://eprints.whiterose.ac.uk/214093/1/Enhanced%20in%20vivo%20wound%20healing%20efficacy%20and%20excellent%20antibacterial%2C%20antifungal%2C%20antioxidant%20and%20anticancer%20activities%20via%20AgNPs%40PCS.pdf
seltox,175_1-s2.0-S1878535224000637-main.pdf,10.1016/j.arabjc.2024.105661,failed,not_pdf:text/html; charset=UTF-8,,
seltox,197_1-s2.0-S0003996919302067-main.pdf,10.1016/j.archoralbio.2019.104481,failed,request_error:ReadTimeout,,
seltox,169_1-s2.0-S0003996921000649-main.pdf,10.1016/j.archoralbio.2021.105101,failed,request_error:ReadTimeout,,
seltox,198_1-s2.0-S2590207524000170-main.pdf,10.1016/j.bioflm.2024.100192,failed,http_403,,
seltox,69_pageni2018.pdf,10.1016/j.biomaterials.2018.05.007,failed,no_oa_url,,
seltox,183_mishra2020.pdf,10.1016/j.btre.2020.e00571,failed,not_pdf:text/html; charset=utf-8,,
seltox,116_1-s2.0-S2215017X2300036X-main.pdf,10.1016/j.btre.2023.e00816,failed,http_403,,
seltox,199_1-s2.0-S0927775724007131-main.pdf,10.1016/j.colsurfa.2024.133852,failed,not_pdf:text/html;charset=UTF-8,,
seltox,173_1-s2.0-S2666086524000134-main.pdf,10.1016/j.crgsc.2024.100408,failed,http_403,,
seltox,155_1-s2.0-S0928098723003111-main.pdf,10.1016/j.ejps.2023.106683,failed,not_pdf:text/html;charset=UTF-8,,
seltox,121_1-s2.0-S2405665024000490-main.pdf,10.1016/j.emcon.2024.100348,failed,http_403,,
seltox,143_1-s2.0-S235218642100715X-main.pdf,10.1016/j.eti.2021.102067,failed,not_pdf:text/html;charset=UTF-8,,
seltox,120_1-s2.0-S2772753X24001059-main.pdf,10.1016/j.focha.2024.100709,failed,http_403,,
seltox,111_1-s2.0-S0308814622019227-main.pdf,10.1016/j.foodchem.2022.133960,failed,not_pdf:text/html;charset=UTF-8,,
seltox,203_1-s2.0-S0956713518302330-main.pdf,10.1016/j.foodcont.2018.05.008,failed,not_pdf:text/html;charset=UTF-8,,
seltox,92_10.1016@j.heliyon.2019.e01333.pdf,10.1016/j.heliyon.2019.e01333,failed,http_403,,
seltox,114_10.1016@j.heliyon.2019.e02980.pdf,10.1016/j.heliyon.2019.e02980,failed,http_403,,
seltox,185_1-s2.0-S2405844020304692-main.pdf,10.1016/j.heliyon.2020.e03624,failed,not_pdf:text/html; charset=utf-8,,
seltox,124_1-s2.0-S2405844020313372-main.pdf,10.1016/j.heliyon.2020.e04493,failed,not_pdf:text/html; charset=utf-8,,
seltox,205_1-s2.0-S2405844021021368-main.pdf,10.1016/j.heliyon.2021.e08033,failed,not_pdf:text/html; charset=utf-8,,
seltox,122_1-s2.0-S2405844022007605-main.pdf,10.1016/j.heliyon.2022.e09472,failed,request_error:ConnectTimeout,,
seltox,122_1-s2.0-S2405844022007605-main.pdf,10.1016/j.heliyon.2022.e09474,failed,not_pdf:text/html; charset=utf-8,,
seltox,154_1-s2.0-S2405844022012981-main.pdf,10.1016/j.heliyon.2022.e10010,failed,not_pdf:text/html; charset=utf-8,,
seltox,218_1-s2.0-S240584402302950X-main.pdf,10.1016/j.heliyon.2023.e15743,failed,http_403,,
seltox,131_1-s2.0-S2405844023059960-main.pdf,10.1016/j.heliyon.2023.e18788,failed,http_403,,
seltox,126_1-s2.0-S2405844023062692-main.pdf,10.1016/j.heliyon.2023.e19061,failed,http_403,,
seltox,144_1-s2.0-S2405844023099796-main.pdf,10.1016/j.heliyon.2023.e22771,failed,http_403,,
seltox,140_1-s2.0-S2405844024008466-main.pdf,10.1016/j.heliyon.2024.e24815,failed,http_403,,
seltox,117_1-s2.0-S240584402401291X-main.pdf,10.1016/j.heliyon.2024.e25260,failed,http_403,,
seltox,163_1-s2.0-S2405844024016955-main.pdf,10.1016/j.heliyon.2024.e25664,downloaded,downloaded,data/pdfs/pdf_seltox/163_1-s2.0-S2405844024016955-main.pdf,https://research.chalmers.se/publication/539994/file/539994_Fulltext.pdf
seltox,182_main.pdf,10.1016/j.heliyon.2024.e28971,failed,http_403,,
seltox,119_1-s2.0-S2405844024065319-main.pdf,10.1016/j.heliyon.2024.e30500,failed,http_403,,
seltox,146_1-s2.0-S2405844024071470-main.pdf,10.1016/j.heliyon.2024.e31116,failed,http_403,,
seltox,200_1-s2.0-S0141813023028775-main.pdf,10.1016/j.ijbiomac.2023.125982,failed,not_pdf:text/html;charset=UTF-8,,
seltox,165_1-s2.0-S2590156724000173-main.pdf,10.1016/j.ijpx.2024.100245,failed,not_pdf:text/html; charset=utf-8,,
seltox,150_1-s2.0-S2666934X23000259-main.pdf,10.1016/j.jciso.2023.100098,failed,http_403,,
seltox,133_1-s2.0-S030057122030066X-main.pdf,10.1016/j.jdent.2020.103327,failed,no_oa_url,,
seltox,161_1-s2.0-S0304389421012802-main.pdf,10.1016/j.jhazmat.2021.126316,failed,not_pdf:text/html;charset=UTF-8,,
seltox,106_steffy2017.pdf,10.1016/j.jiph.2017.10.006,failed,http_403,,
seltox,137_asimuddin2018.pdf,10.1016/j.jksus.2018.09.014,failed,http_403,,
seltox,219_1-s2.0-S1018364720303001-main.pdf,10.1016/j.jksus.2020.09.024,failed,http_403,,
seltox,157_1-s2.0-S1018364720304092-main.pdf,10.1016/j.jksus.2020.101296,failed,http_403,,
seltox,166_1-s2.0-S1018364721002494-main.pdf,10.1016/j.jksus.2021.101587,failed,http_403,,
seltox,112_1-s2.0-S1018364721004110-main.pdf,10.1016/j.jksus.2021.101749,failed,http_403,,
seltox,216_1-s2.0-S1018364722000775-main.pdf,10.1016/j.jksus.2022.101896,failed,http_403,,
seltox,220_1-s2.0-S1018364722000787-main.pdf,10.1016/j.jksus.2022.101897,failed,http_403,,
seltox,132_1-s2.0-S1018364722005547-main.pdf,10.1016/j.jksus.2022.102373,failed,http_403,,
seltox,217_1-s2.0-S1018364723004214-main.pdf,10.1016/j.jksus.2023.102959,failed,not_pdf:text/html; charset=UTF-8,,
seltox,170_1-s2.0-S1018364724001769-main.pdf,10.1016/j.jksus.2024.103264,failed,not_pdf:text/html; charset=UTF-8,,
seltox,184_1-s2.0-S1018364724002489-main.pdf,10.1016/j.jksus.2024.103336,failed,not_pdf:text/html; charset=UTF-8,,
seltox,192_1-s2.0-S1684118216300238-main.pdf,10.1016/j.jmii.2016.03.002,failed,not_pdf:text/html;charset=UTF-8,,
seltox,172_1-s2.0-S2238785422002198-main.pdf,10.1016/j.jmrt.2022.02.049,failed,http_403,,
seltox,160_1-s2.0-S1687850724001882-main.pdf,10.1016/j.jrras.2024.101004,failed,http_403,,
seltox,118_1-s2.0-S1319610314001586-main.pdf,10.1016/j.jscs.2014.10.004,failed,http_403,,
seltox,204_1-s2.0-S1658361217300483-main.pdf,10.1016/j.jtumed.2017.02.008,failed,not_pdf:text/html;charset=UTF-8,,
seltox,23_1-s2.0-S0944501315300136-main.pdf,10.1016/j.micres.2015.09.009,failed,no_oa_url,,
seltox,113_1-s2.0-S2773078623000079-main.pdf,10.1016/j.napere.2023.100026,failed,not_pdf:text/html;charset=UTF-8,,
seltox,123_1-s2.0-S2949822823000710-main.pdf,10.1016/j.nxmate.2023.100071,failed,not_pdf:text/html;charset=UTF-8,,
seltox,156_1-s2.0-S294982952400024X-main.pdf,10.1016/j.nxnano.2024.100063,failed,http_403,,
seltox,148_1-s2.0-S2352952022000469-main.pdf,10.1016/j.onano.2022.100084,failed,http_403,,
seltox,115_1-s2.0-S2352952023000270-main.pdf,10.1016/j.onano.2023.100148,downloaded,downloaded,data/pdfs/pdf_seltox/115_1-s2.0-S2352952023000270-main.pdf,http://sedici.unlp.edu.ar/bitstream/handle/10915/153644/Documento_completo.pdf?sequence=1
seltox,149_1-s2.0-S2773111123000293-main.pdf,10.1016/j.plana.2023.100052,failed,http_403,,
seltox,109_gunalan2012.pdf,10.1016/j.pnsc.2012.11.015,failed,not_pdf:text/html;charset=UTF-8,,
seltox,194_1-s2.0-S003257912300514X-main.pdf,10.1016/j.psj.2023.102995,failed,http_403,,
seltox,162_1-s2.0-S2211715622004052-main.pdf,10.1016/j.rechem.2022.100686,failed,http_403,,
seltox,128_1-s2.0-S2211715623002229-main.pdf,10.1016/j.rechem.2023.100983,failed,http_403,,
seltox,168_1-s2.0-S2211715623005131-main.pdf,10.1016/j.rechem.2023.101274,failed,http_403,,
