domain,pdf,doi,doi_url,suggested_filename,notes
seltox,97_boda2015.pdf,10.1002/smll.201403014,https://doi.org/10.1002/smll.201403014,97_boda2015.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,4_antibiotics-11-01219-v2.pdf,10.1007/s10876-020-01759-x,https://doi.org/10.1007/s10876-020-01759-x,4_antibiotics-11-01219-v2.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,171_1-s2.0-S2211926423001625-main.pdf,10.1016/j.algal.2023.103129,https://doi.org/10.1016/j.algal.2023.103129,171_1-s2.0-S2211926423001625-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,159_1-s2.0-S1878535214002482-main.pdf,10.1016/j.arabjc.2014.10.036,https://doi.org/10.1016/j.arabjc.2014.10.036,159_1-s2.0-S1878535214002482-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,174_1-s2.0-S1878535216300387-main.pdf,10.1016/j.arabjc.2016.04.014,https://doi.org/10.1016/j.arabjc.2016.04.014,174_1-s2.0-S1878535216300387-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,167_1-s2.0-S1878535221005402-main.pdf,10.1016/j.arabjc.2021.103525,https://doi.org/10.1016/j.arabjc.2021.103525,167_1-s2.0-S1878535221005402-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,145_1-s2.0-S187853522200079X-main.pdf,10.1016/j.arabjc.2022.103763,https://doi.org/10.1016/j.arabjc.2022.103763,145_1-s2.0-S187853522200079X-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,196_1-s2.0-S1878535222001149-main.pdf,10.1016/j.arabjc.2022.103798,https://doi.org/10.1016/j.arabjc.2022.103798,196_1-s2.0-S1878535222001149-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,190_1-s2.0-S1878535222001587-main.pdf,10.1016/j.arabjc.2022.103842,https://doi.org/10.1016/j.arabjc.2022.103842,190_1-s2.0-S1878535222001587-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,175_1-s2.0-S1878535224000637-main.pdf,10.1016/j.arabjc.2024.105661,https://doi.org/10.1016/j.arabjc.2024.105661,175_1-s2.0-S1878535224000637-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
seltox,197_1-s2.0-S0003996919302067-main.pdf,10.1016/j.archoralbio.2019.104481,https://doi.org/10.1016/j.archoralbio.2019.104481,197_1-s2.0-S0003996919302067-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_seltox/ with suggested filename.
