pdf,doi,title,journal_name,publisher,year,access,is_oa,oa_status,reference
97_boda2015.pdf,10.1002/smll.201403014,Cytotoxicity of Ultrasmall Gold Nanoparticles on Planktonic and Biofilm Encapsulated GramвЂђPositive Staphylococci,Small,Wiley,2015,1,True,bronze,https://pubmed.ncbi.nlm.nih.gov/25712910/
4_antibiotics-11-01219-v2.pdf,10.1007/s10876-020-01759-x,In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies,Journal of Cluster Science,Springer Science and Business Media LLC,2020,1,False,closed,https://doi.org/10.1007/s10876-020-01759-x
33_s11274-017-2406-3.pdf,10.1007/s11274-017-2406-3,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,1,True,hybrid,https://link.springer.com/article/10.1007/s11274-017-2406-3
171_1-s2.0-S2211926423001625-main.pdf,10.1016/j.algal.2023.103129,An antibacterial and bioactive sponge incorporating Codium sp.-mediated biosynthesized silver nanoparticles for the management of high exudate wounds,Algal Research,Elsevier BV,2023,1,True,hybrid,https://www.sciencedirect.com/science/article/pii/S2211926423001625?via%3Dihub
159_1-s2.0-S1878535214002482-main.pdf,10.1016/j.arabjc.2014.10.036,"Biogenic silver nanoparticles synthesized with rhamnogalacturonan gum: Antibacterial activity, cytotoxicity and its mode of action",Arabian Journal of Chemistry,Elsevier BV,2018,1,True,gold,https://doi.org/10.1016/j.arabjc.2014.10.036
174_1-s2.0-S1878535216300387-main.pdf,10.1016/j.arabjc.2016.04.014,Green synthesis of silver nanoparticles using the seaweed Gracilaria birdiae and their antibacterial activity,Arabian Journal of Chemistry,Elsevier BV,2019,1,True,gold,https://doi.org/10.1016/j.arabjc.2016.04.014
167_1-s2.0-S1878535221005402-main.pdf,10.1016/j.arabjc.2021.103525,Sustainable green synthesis of silver nanoparticles using Sambucus ebulus phenolic extract (AgNPs@SEE): Optimization and assessment of photocatalytic degradation of methyl orange and their in vitro antibacterial and anticancer activity,Arabian Journal of Chemistry,Elsevier BV,2022,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1878535221005402?via%3Dihub
145_1-s2.0-S187853522200079X-main.pdf,10.1016/j.arabjc.2022.103763,Eco-friendly synthesis of size-controlled silver nanoparticles by using Areca catechu nut aqueous extract and investigation of their potent antioxidant and anti-bacterial activities,Arabian Journal of Chemistry,Elsevier BV,2022,1,True,gold,https://doi.org/10.1016/j.arabjc.2022.103763
196_1-s2.0-S1878535222001149-main.pdf,10.1016/j.arabjc.2022.103798,Evaluating the antimicrobial activity and cytotoxicity of polydopamine capped silver and silver/polydopamine core-shell nanocomposites,Arabian Journal of Chemistry,Elsevier BV,2022,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1878535222001149?via%3Dihub#s0060
190_1-s2.0-S1878535222001587-main.pdf,10.1016/j.arabjc.2022.103842,"Cytotoxicity, antifungal, antioxidant, antibacterial and photodegradation potential of silver nanoparticles mediated via Medicago sativa extract",Arabian Journal of Chemistry,Elsevier BV,2022,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1878535222001587?via%3Dihub#s0065
158_1-s2.0-S1878535223006561-main.pdf,10.1016/j.arabjc.2023.105194,"Enhanced in vivo wound healing efficacy and excellent antibacterial, antifungal, antioxidant and anticancer activities via AgNPs@PCS",Arabian Journal of Chemistry,Elsevier BV,2023,1,True,gold,https://doi.org/10.1016/j.arabjc.2023.105194
175_1-s2.0-S1878535224000637-main.pdf,10.1016/j.arabjc.2024.105661,Controlling cisplatin release by synergistic action of silver-cisplatin on monodispersed spherical silica for targeted anticancer and antibacterial activities,Arabian Journal of Chemistry,Elsevier BV,2024,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1878535224000637?via%3Dihub#f0045
197_1-s2.0-S0003996919302067-main.pdf,10.1016/j.archoralbio.2019.104481,Antimicrobial and biofilm anti-adhesion activities of silver nanoparticles and farnesol against endodontic microorganisms for possible application in root canal treatment,Archives of Oral Biology,Elsevier BV,2019,1,True,hybrid,https://www.sciencedirect.com/science/article/pii/S0003996919302067?via%3Dihub
169_1-s2.0-S0003996921000649-main.pdf,10.1016/j.archoralbio.2021.105101,"Antimicrobial effects of silver nanoparticles and extracts of Syzygium cumini flowers and seeds: Periodontal, cariogenic and opportunistic pathogens",Archives of Oral Biology,Elsevier BV,2021,1,True,bronze,https://doi.org/10.1016/j.archoralbio.2021.105101
198_1-s2.0-S2590207524000170-main.pdf,10.1016/j.bioflm.2024.100192,Silver nanoparticles synthesized from Pseudomonas aeruginosa pyoverdine: Antibiofilm and antivirulence agents,Biofilm,Elsevier BV,2024,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2590207524000170
69_pageni2018.pdf,10.1016/j.biomaterials.2018.05.007,Recyclable magnetic nanoparticles grafted with antimicrobial metallopolymer-antibiotic bioconjugates,Biomaterials,Elsevier BV,2018,1,True,bronze,https://www.sciencedirect.com/science/article/pii/S0142961218303399
183_mishra2020.pdf,10.1016/j.btre.2020.e00571,"Biosynthesis of silver nanoparticles from marine diatoms Chaetoceros sp., Skeletonema sp., Thalassiosira sp., and their antibacterial study",Biotechnology Reports,Elsevier BV,2020,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2215017X20303702?via%3Dihub
116_1-s2.0-S2215017X2300036X-main.pdf,10.1016/j.btre.2023.e00816,Optimization of the biosynthesis of silver nanoparticles using bacterial extracts and their antimicrobial potential,Biotechnology Reports,Elsevier BV,2023,1,True,gold,https://doi.org/10.1016/j.btre.2023.e00816
199_1-s2.0-S0927775724007131-main.pdf,10.1016/j.colsurfa.2024.133852,Honey-assisted synthesis and properties of silver nanoparticles in aqueous solution and inside supramolecular aggregates. The CassyopeaВ® effect,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Elsevier BV,2024,1,True,hybrid,https://www.sciencedirect.com/science/article/pii/S0927775724007131?via%3Dihub#sec0050
173_1-s2.0-S2666086524000134-main.pdf,10.1016/j.crgsc.2024.100408,Biosynthesis of silver nanoparticles as a reliable alternative for the catalytic degradation of organic dyes and antibacterial applications,Current Research in Green and Sustainable Chemistry,Elsevier BV,2024,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2666086524000134
155_1-s2.0-S0928098723003111-main.pdf,10.1016/j.ejps.2023.106683,Formulation optimization and evaluation of oromucosal in situ gel loaded with silver nanoparticles prepared by green biosynthesis,European Journal of Pharmaceutical Sciences,Elsevier BV,2024,1,True,gold,https://www.sciencedirect.com/science/article/pii/S0928098723003111?via%3Dihub
121_1-s2.0-S2405665024000490-main.pdf,10.1016/j.emcon.2024.100348,Antibacterial and cytotoxicity activity of green synthesized silver nanoparticles using aqueous extract of naartjie (Citrus unshiu) fruit peels,Emerging Contaminants,Elsevier BV,2024,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2405665024000490?via%3Dihub
143_1-s2.0-S235218642100715X-main.pdf,10.1016/j.eti.2021.102067,Kermes oak (Quercus coccifera L.) extract for a biogenic and eco-benign synthesis of silver nanoparticles with efficient biological activities,Environmental Technology &amp; Innovation,Elsevier BV,2021,1,True,hybrid,https://www.sciencedirect.com/science/article/pii/S235218642100715X?via%3Dihub
