domain,pdf,doi,doi_url,suggested_filename,notes
synergy,69_pageni2018.pdf,10.1016/j.biomaterials.2018.05.007,https://doi.org/10.1016/j.biomaterials.2018.05.007,69_pageni2018.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,70_10.1016@j.dib.2019.104929.pdf,10.1016/j.dib.2019.104929,https://doi.org/10.1016/j.dib.2019.104929,70_10.1016@j.dib.2019.104929.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,63_pallela2019.pdf,10.1016/j.heliyon.2019.e02765,https://doi.org/10.1016/j.heliyon.2019.e02765,63_pallela2019.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,45_1-s2.0-S1876034121003282-main.pdf,10.1016/j.jiph.2021.10.007,https://doi.org/10.1016/j.jiph.2021.10.007,45_1-s2.0-S1876034121003282-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,55_8f8eba2a8c57f32465306f7e987d8050.pdf,10.1016/j.jsps.2018.11.010,https://doi.org/10.1016/j.jsps.2018.11.010,55_8f8eba2a8c57f32465306f7e987d8050.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,23_1-s2.0-S0944501315300136-main.pdf,10.1016/j.micres.2015.09.009,https://doi.org/10.1016/j.micres.2015.09.009,23_1-s2.0-S0944501315300136-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,66_1-s2.0-S2590123022001207-main.pdf,10.1016/j.rineng.2022.100450,https://doi.org/10.1016/j.rineng.2022.100450,66_1-s2.0-S2590123022001207-main.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,83_10.1016@j.sajb.2019.05.024.pdf,10.1016/j.sajb.2019.05.024,https://doi.org/10.1016/j.sajb.2019.05.024,83_10.1016@j.sajb.2019.05.024.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,41_li2014.pdf,10.1021/nn5042625,https://doi.org/10.1021/nn5042625,41_li2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,78_priyanka2016.pdf,10.1049/iet-nbt.2015.0038,https://doi.org/10.1049/iet-nbt.2015.0038,78_priyanka2016.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,2_ghafoori2017.pdf,10.1088/2043-6254/aa92bb,https://doi.org/10.1088/2043-6254/aa92bb,2_ghafoori2017.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,19_markowska2014.pdf,10.1099/jmm.0.068833-0,https://doi.org/10.1099/jmm.0.068833-0,19_markowska2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,22_lambio0680.pdf,10.1111/lam.13759,https://doi.org/10.1111/lam.13759,22_lambio0680.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,5_habash2014.pdf,10.1128/aac.03170-14,https://doi.org/10.1128/aac.03170-14,5_habash2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,56_li2016.pdf,10.2147/ijn.s119618,https://doi.org/10.2147/ijn.s119618,56_li2016.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,35_10.2147@IJN.S246484.pdf,10.2147/ijn.s246484,https://doi.org/10.2147/ijn.s246484,35_10.2147@IJN.S246484.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,36_chopade2012.pdf,10.2147/ijn.s24793,https://doi.org/10.2147/ijn.s24793,36_chopade2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,62_azam2012.pdf,10.2147/ijn.s29020,https://doi.org/10.2147/ijn.s29020,62_azam2012.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,37_chopade2013.pdf,10.2147/ijn.s48913,https://doi.org/10.2147/ijn.s48913,37_chopade2013.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,16_IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,10.2147/ijn.s49284,https://doi.org/10.2147/ijn.s49284,16_IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,86_2023.08.01.34.pdf,10.21931/rb/2023.08.01.34,https://doi.org/10.21931/rb/2023.08.01.34,86_2023.08.01.34.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,38_NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,10.22034/nmrj.2020.01.006,https://doi.org/10.22034/nmrj.2020.01.006,38_NMRJ_Volume_5_Issue_1_Pages_44-54.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,68_patra2016.pdf,10.3109/21691401.2016.1153484,https://doi.org/10.3109/21691401.2016.1153484,68_patra2016.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,11_fbioe-09-652362.pdf,10.3389/fbioe.2021.652362,https://doi.org/10.3389/fbioe.2021.652362,11_fbioe-09-652362.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,13_pompilio2018.pdf,10.3389/fmicb.2018.01349,https://doi.org/10.3389/fmicb.2018.01349,13_pompilio2018.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,3_antibiotics-11-01205-v2.pdf,10.3390/antibiotics11091205,https://doi.org/10.3390/antibiotics11091205,3_antibiotics-11-01205-v2.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,4_antibiotics-11-01219-v2.pdf,10.3390/antibiotics11091219,https://doi.org/10.3390/antibiotics11091219,4_antibiotics-11-01219-v2.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,77_catalysts-12-00181-v3.pdf,10.3390/catal12020181,https://doi.org/10.3390/catal12020181,77_catalysts-12-00181-v3.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,91_crystals-12-01513-v3.pdf,10.3390/cryst12111513,https://doi.org/10.3390/cryst12111513,91_crystals-12-01513-v3.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,71_jfb-13-00138.pdf,10.3390/jfb13030138,https://doi.org/10.3390/jfb13030138,71_jfb-13-00138.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,74_grumezescu2014.pdf,10.3390/molecules19045013,https://doi.org/10.3390/molecules19045013,74_grumezescu2014.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,61_10.3390@molecules24173055.pdf,10.3390/molecules24173055,https://doi.org/10.3390/molecules24173055,61_10.3390@molecules24173055.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
synergy,24_swolana2020.pdf,10.3390/nano10051010,https://doi.org/10.3390/nano10051010,24_swolana2020.pdf,Download only legal OA PDF. Save into data/pdfs/pdf_synergy/ with suggested filename.
