pdf,doi,title,journal_name,publisher,year,access,is_oa,oa_status,reference
33_s11274-017-2406-3.pdf,10.1007/s11274-017-2406-3,"Synthesis, characterization and evaluation of antimicrobial and cytotoxic activities of biogenic silver nanoparticles synthesized from Streptomyces xinghaiensis OF1 strain",World Journal of Microbiology and Biotechnology,Springer Science and Business Media LLC,2018,1,True,hybrid,https://link.springer.com/article/10.1007/s11274-017-2406-3
53_burygin2009.pdf,10.1007/s11671-009-9316-8,On the Enhanced Antibacterial Activity of Antibiotics Mixed with Gold Nanoparticles,Nanoscale Research Letters,Springer Science and Business Media LLC,2009,1,True,gold,https://link.springer.com/article/10.1007/s11671-009-9316-8
43_roshmi2015.pdf,10.1007/s13404-015-0162-4,Effect of biofabricated gold nanoparticle-based antibiotic conjugates on minimum inhibitory concentration of bacterial isolates of clinical origin,Gold Bulletin,Springer Science and Business Media LLC,2015,1,True,hybrid,https://link.springer.com/article/10.1007/s13404-015-0162-4
69_pageni2018.pdf,10.1016/j.biomaterials.2018.05.007,Recyclable magnetic nanoparticles grafted with antimicrobial metallopolymer-antibiotic bioconjugates,Biomaterials,Elsevier BV,2018,1,True,bronze,https://www.sciencedirect.com/science/article/pii/S0142961218303399
70_10.1016@j.dib.2019.104929.pdf,10.1016/j.dib.2019.104929,Data on cytotoxic and antibacterial activity of synthesized Fe3O4 nanoparticles using Malva sylvestris,Data in Brief,Elsevier BV,2020,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2352340919312843
63_pallela2019.pdf,10.1016/j.heliyon.2019.e02765,Antibacterial efficacy of green synthesized ��-Fe2O3 nanoparticles using Sida cordifolia plant extract,Heliyon,Elsevier BV,2019,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2405844019364254?via%3Dihub
45_1-s2.0-S1876034121003282-main.pdf,10.1016/j.jiph.2021.10.007,"Biosynthesis, characterization, and antibacterial activity of gold nanoparticles",Journal of Infection and Public Health,Elsevier BV,2021,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1876034121003282
55_8f8eba2a8c57f32465306f7e987d8050.pdf,10.1016/j.jsps.2018.11.010,Antibacterial activity of biosynthesized gold nanoparticles using biomolecules from Lignosus rhinocerotis and chitosan,Saudi Pharmaceutical Journal,Springer Science and Business Media LLC,2019,1,True,gold,https://www.sciencedirect.com/science/article/pii/S1319016418305772#f0025
23_1-s2.0-S0944501315300136-main.pdf,10.1016/j.micres.2015.09.009,"Mycosynthesis of silver and gold nanoparticles: Optimization, characterization and antimicrobial activity against human pathogens",Microbiological Research,Elsevier BV,2016,1,True,bronze,https://www.sciencedirect.com/science/article/pii/S0944501315300136
66_1-s2.0-S2590123022001207-main.pdf,10.1016/j.rineng.2022.100450,A comprehensive study on antibacterial antioxidant and photocatalytic activity of achyranthes aspera mediated biosynthesized Fe2O3 nanoparticles,Results in Engineering,Elsevier BV,2022,1,True,gold,https://www.sciencedirect.com/science/article/pii/S2590123022001207
83_10.1016@j.sajb.2019.05.024.pdf,10.1016/j.sajb.2019.05.024,Green synthesis of titanium dioxide nanoparticles using Azadirachta indica leaf extract and evaluation of their antibacterial activity,South African Journal of Botany,Elsevier BV,2019,1,True,hybrid,https://www.sciencedirect.com/science/article/pii/S0254629919307148
41_li2014.pdf,10.1021/nn5042625,Functional Gold Nanoparticles as Potent Antimicrobial Agents against Multi-Drug-Resistant Bacteria,ACS Nano,American Chemical Society (ACS),2014,1,True,bronze,https://pubs.acs.org/doi/full/10.1021/nn5042625
30_s41598-022-19698-0.pdf,10.1038/s41598-022-19698-0,Synergistic antibacterial activity of silver nanoparticles biosynthesized by carbapenem-resistant Gram-negative bacilli,Scientific Reports,Springer Science and Business Media LLC,2022,1,True,gold,https://www.nature.com/articles/s41598-022-19698-0
31_thirumurugan2016.pdf,10.1038/srep29982,Elucidating pharmacodynamic interaction of silver nanoparticle - topical deliverable antibiotics,Scientific Reports,Springer Science and Business Media LLC,2016,1,True,gold,https://www.nature.com/articles/srep29982
75_d1ra04390k.pdf,10.1039/d1ra04390k,Vancomycin conjugated iron oxide nanoparticles for magnetic targeting and efficient capture of Gram-positive and Gram-negative bacteria,RSC Advances,Royal Society of Chemistry,2021,1,True,hybrid,https://pubs.rsc.org/en/content/articlehtml/2021/ra/d1ra04390k
78_priyanka2016.pdf,10.1049/iet-nbt.2015.0038,Microbicidal activity of TiO<sub>2</sub>nanoparticles synthesised by sol���gel method,IET Nanobiotechnology,Institution of Engineering and Technology (IET),2016,1,True,green,https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/iet-nbt.2015.0038
2_ghafoori2017.pdf,10.1088/2043-6254/aa92bb,Biosynthesis and evaluation of the characteristics of silver nanoparticles using <i>Cassia fistula</i> fruit aqueous extract and its antibacterial activity,Advances in Natural Sciences: Nanoscience and Nanotechnology,IOP Publishing,2017,1,True,hybrid,https://iopscience.iop.org/article/10.1088/2043-6254/aa92bb/meta
19_markowska2014.pdf,10.1099/jmm.0.068833-0,Modulation of antibiotic resistance and induction of a stress response in Pseudomonas aeruginosa by silver nanoparticles,Journal of Medical Microbiology,Microbiology Society,2014,1,True,bronze,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.068833-0
22_lambio0680.pdf,10.1111/lam.13759,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,Letters in Applied Microbiology,Oxford University Press (OUP),2022,1,True,hybrid,https://academic.oup.com/lambio/article/75/3/680/6989369
5_habash2014.pdf,10.1128/aac.03170-14,Synergy of Silver Nanoparticles and Aztreonam against Pseudomonas aeruginosa PAO1 Biofilms,Antimicrobial Agents and Chemotherapy,American Society for Microbiology,2014,1,True,bronze,https://journals.asm.org/doi/10.1128/aac.03170-14#ref-list-1
72_10.1186@s12951-020-0588-6.pdf,10.1186/s12951-020-0588-6,"Antibacterial activity of iron oxide, iron nitride, and tobramycin conjugated nanoparticles against Pseudomonas aeruginosa biofilms",Journal of Nanobiotechnology,Springer Science and Business Media LLC,2020,1,True,gold,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-020-0588-6
28_10.1371@journal.pone.0224904.pdf,10.1371/journal.pone.0224904,Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane,PLOS ONE,Public Library of Science (PLoS),2019,1,True,gold,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904
89_sharma2016.pdf,10.1590/0001-3765201620150713,"Synergistic activity of doped zinc oxide nanoparticles with antibiotics: ciprofloxacin, ampicillin, fluconazole and amphotericin B against pathogenic microorganisms",Anais da Academia Brasileira de Ci��ncias,FapUNIFESP (SciELO),2016,1,True,gold,https://www.scielo.br/j/aabc/a/CS6WTFgyyDtg9FJQfzftXny/?lang=en#
34_abo-shama2020.pdf,10.2147/idr.s234425,Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,Infection and Drug Resistance,Dove Medical Press Ltd.,2020,1,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012269/
56_li2016.pdf,10.2147/ijn.s119618,Biosynthesis of gold nanoparticles by the extreme bacterium�Deinococcus radiodurans�and an evaluation of their antibacterial properties,International Journal of Nanomedicine,Dove Medical Press Ltd.,2016,1,True,green,https://www.tandfonline.com/doi/full/10.2147/IJN.S119618
